GHCN_DIN,DATE,PRCP (10^-1 mm),SNOW (mm),TMAX (°C),TMIN (°C),ELEVATION (m),NAME,COORD (LAT),COORD (LONG),COUNTRY_CODE
AR000875850,01/01/2015,109,,25.5,17.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,02/01/2015,,,,13.1,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,03/01/2015,,,,13.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,04/01/2015,,,30,14.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,05/01/2015,,,,19.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,06/01/2015,51,,32.9,20.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,07/01/2015,0,,,19.9,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,08/01/2015,,,,21,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,09/01/2015,89,,,24.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,10/01/2015,249,,34.5,19.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,11/01/2015,0,,,23.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,12/01/2015,,,,20.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,13/01/2015,51,,36.5,,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,14/01/2015,429,,,18.7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,15/01/2015,130,,28.6,17.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,16/01/2015,0,,,20.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,17/01/2015,10,,33,18.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,18/01/2015,0,,27.9,19.2,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,19/01/2015,170,,25.2,19.4,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,20/01/2015,79,,24.2,14.7,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,21/01/2015,0,,,16.6,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,22/01/2015,,,,20,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,23/01/2015,,,28.2,21.5,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
AR000875850,24/01/2015,,,,20.8,25,BUENOS AIRES OBSERV,-34.583,-58.483,AR
